"","logFC","logCPM","F","PValue","FDR"
"RibesNigrum.4309",-5.64871008229418,2.33670762319479,65.865878639998,7.20135169870481e-06,0.00284106696702041
"RibesNigrum.29700",-3.63231842495441,4.38040387977778,53.2238041197366,7.22274144544786e-06,0.00284106696702041
"RibesNigrum.24546",-4.64735822689072,6.32172219544458,52.887465655849,7.463488871104e-06,0.00284106696702041
"RibesNigrum.14278",-3.09947062604887,1.71395925952603,52.3529456425663,7.62370448368217e-06,0.00284106696702041
"RibesNigrum.23522",-2.65066981372296,1.70354405494349,52.3510455637933,7.6251387518805e-06,0.00284106696702041
"RibesNigrum.31219",-3.13734510909482,0.880025262270507,52.2581048950967,7.69567778323281e-06,0.00284106696702041
"RibesNigrum.7393",-4.53279387554208,2.91357414518595,52.4564968704496,7.78569623685498e-06,0.00284106696702041
"RibesNigrum.13865",-2.74020614918442,5.74030225143274,52.3338094287584,7.88035075622879e-06,0.00284106696702041
"RibesNigrum.33238",-5.01686922871233,4.39031116414097,64.5859660030163,7.88431354828633e-06,0.00284106696702041
"RibesNigrum.17636",-2.72968408876331,5.80167727343712,52.2600046353836,7.93793432739425e-06,0.00284106696702041
"RibesNigrum.48982",-2.43753433236586,5.41578877583136,51.9065691951088,8.22054151404731e-06,0.00289087367184622
"RibesNigrum.26800",-5.15445539564404,1.06091971434094,51.7658764329489,8.33627300740852e-06,0.00289087367184622
"RibesNigrum.9197",-2.46479296452859,2.60807649877929,51.4081938033378,8.37703866127005e-06,0.00289087367184622
"RibesNigrum.51389",-5.97917056730338,1.44157765712688,63.6174038803594,8.45270786795515e-06,0.00289087367184622
"RibesNigrum.8957",-4.41063507010841,6.73048058727826,63.4252584274274,8.57118572343064e-06,0.00289087367184622
"RibesNigrum.57039",-6.57815709102645,1.30710498008489,63.3080846486121,8.64440496162781e-06,0.00289087367184622
"RibesNigrum.29536",-3.60738947322455,3.00272788916225,51.298056426252,8.7349035597848e-06,0.00289087367184622
"RibesNigrum.45971",-3.95370570387548,3.09531587981849,62.1680049156454,9.39706857416903e-06,0.0029933422236158
"RibesNigrum.51652",-2.5150124520796,5.35914199680717,50.325813720455,9.63621600961482e-06,0.00303912895812149
"RibesNigrum.53",-3.04591558222877,3.60714008940134,49.5718863474825,1.04098283829818e-05,0.00315617884721648
"RibesNigrum.35427",-4.04957477005547,2.27335774219341,49.5560673670328,1.04268153725164e-05,0.00315617884721648
"RibesNigrum.33247",-5.39775505095822,1.56271095166415,60.5537163025274,1.06005710994057e-05,0.00315617884721648
"RibesNigrum.56633",-3.79031364418219,3.80118292056744,49.3798162799872,1.06182701430601e-05,0.00315617884721648
"RibesNigrum.9665",-2.84520800413295,3.40121123721167,49.3785536658427,1.06196562996432e-05,0.00315617884721648
"RibesNigrum.59716",-4.95171283283954,1.10945833781743,60.1248205776331,1.09505837745397e-05,0.00315617884721648
"RibesNigrum.27885",-4.07124757049161,2.7089826322475,48.9993535011324,1.10456174828979e-05,0.00315617884721648
"RibesNigrum.52295",-1.75038886120249,4.41264069082587,48.6521999082147,1.11195184243477e-05,0.00315617884721648
"RibesNigrum.26352",-2.63788755222515,2.3868083060792,48.4983417877765,1.13010223538574e-05,0.00315617884721648
"RibesNigrum.10677",-3.81214165524748,2.62479784076659,59.6037246846414,1.13945051619858e-05,0.00315617884721648
"RibesNigrum.13548",-2.34502543959831,4.33178484649221,48.2593315218896,1.19352787614656e-05,0.00327746870403211
"RibesNigrum.50641",-3.75367630897999,1.07995581200123,57.0366576722916,1.3491165089565e-05,0.00351321259058154
"RibesNigrum.11457",-3.35644674784037,1.71679701853636,47.0659446445288,1.3551137389353e-05,0.00351321259058154
"RibesNigrum.20721",-5.37519223732025,2.9025585864726,57.362248381195,1.35658048798119e-05,0.00351321259058154
"RibesNigrum.12414",-7.11127499068759,-0.93961907785444,46.6802143453638,1.41266923484866e-05,0.00355430788509004
"RibesNigrum.33719",-3.3417495305554,1.7069901811249,46.6513992304183,1.41708137567161e-05,0.00355430788509004
"RibesNigrum.9257",-5.19335090220039,3.63799615775421,56.5110240669052,1.45170941096619e-05,0.00361271496694665
"RibesNigrum.15394",-1.85501900268771,4.8191746865058,45.866026765061,1.5007313910073e-05,0.00370575951388733
"RibesNigrum.53711",-4.74688071031558,0.259133734300773,45.7630826578142,1.56127355110424e-05,0.00378834792916642
"RibesNigrum.12457",-3.0767489896399,3.73804075932524,45.7132370284051,1.56985598872973e-05,0.00378834792916642
"RibesNigrum.12537",-2.81654316856034,4.34140441701474,45.288280783638,1.64528895689359e-05,0.00389929932562154
"RibesNigrum.53658",-2.68008580002241,3.08681966362475,44.7548550469577,1.74600218681986e-05,0.00407175601889317
"RibesNigrum.26897",-1.75555638263246,3.39183758176534,44.4685340720213,1.75397507650411e-05,0.00407175601889317
"RibesNigrum.38235",-4.52847352341244,2.89376893130657,44.6633256278414,1.76399300121573e-05,0.00407175601889317
"RibesNigrum.32798",-2.90039640194112,3.17912890001038,44.3569636572458,1.82579377028585e-05,0.00417456342516028
"RibesNigrum.53387",-2.32878129702971,4.82300605913394,43.575780210524,1.99508010621105e-05,0.00444414557365362
"RibesNigrum.59632",-4.06110581447274,1.54414146642459,43.1874022882165,2.08597927186289e-05,0.00452544387433833
"RibesNigrum.12407",-3.94557020545176,0.147336139783697,43.1263123326089,2.08684718059867e-05,0.00452544387433833
"RibesNigrum.54578",-5.63267335661868,1.33986999367077,43.1773119594817,2.08840412358804e-05,0.00452544387433833
"RibesNigrum.3270",-4.76564670971003,5.21233616554098,42.7743962273679,2.18795584222775e-05,0.00459791119998389
"RibesNigrum.55677",-2.78549558696517,2.52794654117081,42.7553672215705,2.19279190956763e-05,0.00459791119998389
"RibesNigrum.12377",-2.17783616889077,2.90524647144714,42.4638962786825,2.20894126629174e-05,0.00459791119998389
"RibesNigrum.56653",-1.60816794956511,4.17372891219939,42.3047335978315,2.25058708033031e-05,0.0046251742488285
"RibesNigrum.34043",-4.07899893248575,3.03254417158263,50.5039315453777,2.40472717566353e-05,0.00487899232188447
"RibesNigrum.26260",-7.36042718117504,-0.693356017109153,66.3465338345724,2.51097328546957e-05,0.00506231285033845
"RibesNigrum.56631",-3.05082063259367,5.10904515366543,41.5124965245936,2.53727685056734e-05,0.00508317086779698
"RibesNigrum.5814",-3.9972778050333,2.85820763579695,49.4014915349477,2.65256741856787e-05,0.00521573349080622
"RibesNigrum.41353",-2.83414426389393,3.16335371931485,40.8484514828345,2.74688074697133e-05,0.00533137026369752
"RibesNigrum.26410",-3.82883387384395,3.78457727724067,40.767425048277,2.77380599718353e-05,0.00533137026369752
"RibesNigrum.12214",-5.78466336928411,-0.597006794223875,48.9057301929454,2.77385922707364e-05,0.00533137026369752
"RibesNigrum.49663",-5.78365039569697,-0.598383891628058,48.8879737402632,2.7783244295027e-05,0.00533137026369752
"RibesNigrum.16091",-2.78912159941955,4.30769222679263,40.692602810859,2.79894168167159e-05,0.00533877175616568
